Source,Gen_comp
And you put the one left and the right.,And you put the one left and the right.
On the left size you will put in.,On the left size you will put in.
I do not like that.,I do not like that.
Butter putter butter.,Butter putter butter.
I do not know.,I do not know.
And on this right you can put on telly@k tɛlɪ@you.,And on this right you can put on telly@k tl@you.
I do not know what that word.,I do not know what that word means.
And i like purple.,And i like purple.
And then you put one on.,And then you put one on.
The butters you put there.,The butters you put there.
And the purple one.,And the purple one.
You put them together.,You put them together.
And push them.,And push them.
And squeeze them a little bit.,And squeeze them a little bit.
I do not know.,I do not know.
I do not know.,I do not know.
I do not know.,I do not know.
Doss you yeah.,Doss you yeah.
Arch ah arch.,Arch ah arch.
Alright whenever you are ready tell me the story you see with a beginning a middle and an end.,Okay whenever you are ready tell me the story you see with a beginning a middle and an end.
Doys are oh wah.,Doys are oh wah.
Oh yes sir.,Oh yes sir.
Yay no more.,Yay no more.
Oh man is up.,Oh man is up.
And oh ree no two.,And oh ree no two.
And which yes.,And which yes.
Yow you doy ?.,Yow you doy?.
You do not.,You do not.
Oh you yes yeah !.,Oh you are right!
Dʒib@you ah okay.,Dib@you ah okay.
After newdear'sday two thousand.,After newdear'sday two thousand.
I do not frəmɛmbə.,I do not like frmmb.
Turkey to china.,Turkey to china.
Oh yes !.,Oh yes!.
Up at beijing.,Up at beijing.
Yes oh !.,Yes oh!.
And walk on the wall.,And walk on the wall.
Yes oh god i loved it !.,Yes oh god i loved it!.
Yes oh just amazing !.,Yes oh just amazing!.
Oh just amazing.,Oh just amazing.
Oh i just oh !.,Oh i just oh!.
Æksɪdʒɪn@you window broken.,ksdn@you window broken.
And it is all big yeah.,And it is all big yeah.
And the window broken and a ball yeah.,And the window broke and a ball yeah.
I do not know it.,I do not know about it.
Yes ohno !.,Yes ohno!.
Yes dðə looking at son.,Yes d looking at son.
And son brɛts@you a bɛləmbɛrlə@you.,And son brts@you a blmbrl@you.
Darling get cat out the tree.,Darling get the cat out of the tree.
There is a up the tree.,There is a twig up the tree.
And də˞də gets mother to down the tree.,And dd gets mother to down the tree.
Tʃɛpdɜ˞dɪn@you wanted to doe to dance.,Tpddn@you wanted to doe to dance.
And ɪndə˞ɛlə@you were not sure of about doɪŋ@you to dance.,And ndl@you were not sure of about do@you want to dance.
And she was drænsɪŋ@you around midnight.,And she was drns@you around midnight.
And she rose to be somewhere else.,And she rose to be somewhere else.
And she put her bʊt@you in the.,And she put her bt@you in the.
Two pieces of bread.,Two pieces of bread.
Jelly and peanut butter.,Jelly and peanut butter.
And dʒo@you them ov@you and make a peanut butter fænvɪtʃ@you.,And do@you them ov@you and make a peanut butter fnv
Fine just fine.,Fine just fine.
Yes ten years.,Yes ten years.
Yes uhhuh yes !.,Yes uhhuh yes!.
The ball here.,The ball is here.
Rain raindrops mhm.,Rain raindrops mhm.
Mhm the end.,Mhm the end.
A litter this ?.,A litter of this?.
Yes uhhuh yes !.,Yes uhhuh yes!.
I do not know.,I do not know.
I do not know.,I do not know.
Okay i do not know.,Okay i do not know.
Oh okay !.,Oh okay!.
No oh yeah.,No oh yeah.
No yes uhhuh.,No no no uhhuh.
Yes oh ohmygoodness !.,Yes oh oh ohmygoodness!.
I do not know.,I do not know.
Oh yes yeah.,Oh yes yeah.
Two times uhhuh.,Two times uhhuh.
Oh okay !.,Oh okay!.
Yes and yes.,Yes and yes.
My what about speech ?.,My what about speech.
No good yeah.,No good yeah.
Sleeping and i try to splain it make me two three four five six seven.,Sleeping and i try to splain it make me two three four five six seven.
Sleeping and tired.,Sleeping and tired.
Just tired man.,Just tired man.
Tell me about your recovery.,I was in a lot of pain.
What kinds of things have you done to try to get better since your stroke ?.,I have done a lot of things to try to get better since my stroke.
Yeah this one.,Yeah this one.
I do not know.,I do not know.
Try to splain it.,Try to explain it.
And this one.,And this one.
And tree sleep kitty.,And the tree sleeps kitty.
And what is this ?.,And what is this?.
This one in yeah.,This one in the yeah.
Sɜ˞ndə˞ɛlə@you way down fact.,Sndl@you way down in fact.
Bread this one this one.,Bread this one this one.
And this ʃɹnz@you and try eat.,And this nz@you and try to eat.
Bɛsæl@you and sleeping and bench.,Bsl@you and sleeping and bench.
Horsie in this one.,Horsie in this one.
Yeah mhm yeah.,Yeah mhm yeah.
Was it disneyland in france ?.,"Disneyland Paris is a theme park in Paris, France."
Mhm one no.,Mhm one no.
Oh one i do not know.,Oh one i do not know.
. oh no.,Oh no.
Yes i know.,Yes i know.
I do not know.,I do not know.
March two thousand five.,March two thousand five.
Oh i do not know.,Oh i do not know.
I know night yes.,I know night yes.
Yeah i know.,Yeah i know.
Two weeks no.,Two weeks no.
I do not know.,I do not know.
I do not know.,I do not know.
I do not know.,I do not know.
Walking later walking.,Walking later walking.
I do not know.,I do not know.
I do not know.,I do not know.
Yes arm and leg.,Yes arm and leg.
Yes and trauma.,Yes and trauma.
Firstnamew and firstnamen yes.,Firstnamew and firstnameyes.
Firstnamew yes twenty two and eighteen.,Firstnamew yes twenty two and eighteen.
And i do not know.,And i do not know.
Oh firstnames and ex son.,Oh firstnames and ex son.
Okay i yes.,Okay i do.
Boy is ball.,Boy is playing ball.
Ball and window.,Ball and window.
Oh wow !.,Oh wow!.
Pall ball in is.,The pall ball in is.
I do not know.,I do not know.
Yeah i yeah.,Yeah i yeah.
Oh i know.,Oh i know.
And what ?.,And what?.
No what ?.,No what?.
Boy yes boy is.,Boy yes boy is.
And boy and.,And boy and.
I do not know.,I do not know.
Man and doe and yes.,Man and doe and yes.
And oh ladder.,And oh ladder.
Ohno no i know.,Oh no no i know.
Man and lemon.,Man and lemon.
And the kitty.,And the kitty.
I do not know.,I do not know.
I do not know.,I do not know.
Firemen and two firemen and.,Firemen and two firemen and.
I do not know.,I do not know.
The woman is trapped.,The woman is trapped.
And the man is reaching and the woman.,And the man is reaching and the woman.
Woman and two woman.,A woman and two women.
I do not know.,I do not know.
I do not know.,I do not know.
Okay the and yes.,Okay the and yes.
Yes sɪdo@you hello.,Yes sdo@you hello.
I do not know ?.,I do not know?.
Woman and two man.,Woman and two man.
And okay walking.,And okay walking.
I do not know.,I do not know.
Two woman and one woman yes.,Two woman and one woman yes.
I do not know.,I do not know.
Two man and one woman.,Two man and one woman.
Okay one woman sad.,Okay one woman is sad.
I do not know.,I do not know.
And yes woman and man.,"And yes, woman and man."
Okay be yes.,Okay be yes.
Yes and okay.,Yes and okay.
You and woman and shoe ?.,You and the woman and the shoe?
I do not know.,I do not know.
No what ?.,No what?.
Yes i know.,Yes i know.
Oh njo@you known !.,Oh njo@you know!.
Yes i know.,Yes i know.
No i know.,No i know.
Yes i know.,Yes i know.
Yes i know.,Yes i know.
Yeah i know.,Yeah i know.
I do not know.,I do not know.
How about this one ?.,How about this one.
Howabout this one ?.,Howabout this one.
I do not know.,I do not know.
Yeah i do not know.,Yeah i do not know.
Yes oh yes.,Yes oh yes.
Yes four five six years ago and more.,Yes four five six years ago and more.
In think the thing.,In think the thing is.
Self i know but the θwu@you good.,Self i know but the wu@you good.
And me gu@you the people here.,And I gu@you the people here.
Okay the people and my two three people.,Okay the people and my two three people.
Is cooled my head is persons the for the.,Is cooled my head is persons the for the for the.
I don know the name.,I don't know the name.
And two people for speech.,And two people for the speech.
There is cindy people and there is there is.,There is cindy people and there is there is there is.
And my car !.,And my car!.
My i am bought a car.,My i am buying a car.
Me there is a car or i am bebecause one two three things for the car.,Me there is a car or i am bebecause one two three things for the car.
Me this but this.,Me this but this is.
The good for that.,The good for that.
Bought me the car already.,I bought the car already.
And me and then wick my kntənɪ@you.,And me and then wick my kntn@you.
Is it good for me and people there ?.,Yes it is good for me and the people there.
And my wife.,And my wife.
And the they caught the person light here in house.,And the they caught the person in the light here in the house.
